transaction_id,amount,hour,country,channel,transactions_last_24h,days_as_customer,is_fraud
TXN0000000,7.34,11,US,pos,4,133,0
TXN0000001,80.47,22,,pos,3,7,0
TXN0000002,649.33,17,Spain,online,0,165,0
TXN0000003,151.3,15,US,pos,4,578,0
TXN0000004,232.45,7,Germany,atm,3,288,0
TXN0000005,39.12,7,UK,pos,0,342,0
TXN0000006,23.5,4,UK,pos,5,271,0
TXN0000007,67.19,20,Spain,pos,1,304,0
TXN0000008,199.33,15,UK,online,0,482,0
TXN0000009,96.29,17,UK,online,1,287,0
TXN0000010,10.09,1,Spain,pos,1,458,0
TXN0000011,231.22,22,UK,atm,3,623,0
TXN0000012,21.58,19,Germany,atm,2,867,0
TXN0000013,1830.62,8,Romania,atm,3,314,0
TXN0000014,143.28,8,UK,online,1,125,0
TXN0000015,844.5,8,France,pos,4,1161,0
TXN0000016,29.11,10,France,atm,4,340,0
TXN0000017,217.96,13,Germany,pos,2,812,0
TXN0000018,178.22,12,France,pos,2,432,0
TXN0000019,148.57,10,Spain,mobile,3,1394,0
TXN0000020,95.69,15,UK,mobile,1,1479,0
TXN0000021,141.64,7,France,atm,3,1266,0
TXN0000022,9.48,10,UK,atm,2,552,0
TXN0000023,71.98,11,Nigeria,online,1,115,1
TXN0000024,14.92,12,Romania,pos,2,12,0
TXN0000025,20.54,18,Germany,pos,1,897,0
TXN0000026,199.36,8,UK,online,2,1399,0
TXN0000027,44.78,13,France,atm,1,966,0
TXN0000028,20.65,15,Nigeria,online,1,154,1
TXN0000029,48.86,2,Spain,mobile,2,1159,0
TXN0000030,119.85,15,Romania,pos,2,693,0
TXN0000031,359.41,8,Unknown,atm,1,2149,0
TXN0000032,100.05,4,Nigeria,pos,2,707,0
TXN0000033,30.96,22,Spain,online,3,2030,0
TXN0000034,16.32,22,Romania,atm,2,754,0
TXN0000035,50.16,19,UK,atm,4,53,0
TXN0000036,20.57,10,UK,atm,2,408,0
TXN0000037,21.99,6,Germany,online,1,37,0
TXN0000038,0.85,16,France,pos,2,19,0
TXN0000039,237.35,12,Spain,online,4,856,0
TXN0000040,23.03,7,Nigeria,pos,4,298,1
TXN0000041,133.73,13,Spain,pos,2,149,0
TXN0000042,31.54,1,Spain,online,4,1967,0
TXN0000043,,21,UK,pos,1,302,0
TXN0000044,209.42,9,US,online,1,378,0
TXN0000045,34.74,16,UK,online,3,589,0
TXN0000046,367.21,10,Germany,online,1,1317,0
TXN0000047,5.95,13,US,pos,0,1301,0
TXN0000048,141.3,14,US,atm,3,842,0
TXN0000049,28.24,8,Spain,atm,1,652,0
TXN0000050,65.26,22,US,online,3,1420,0
TXN0000051,96.49,18,Nigeria,online,2,132,0
TXN0000052,100.55,21,US,online,1,198,0
TXN0000053,93.01,20,Germany,online,0,1,0
TXN0000054,1377.72,15,UK,pos,2,252,0
TXN0000055,204.05,21,Unknown,pos,2,97,0
TXN0000056,232.72,6,Unknown,mobile,0,118,0
TXN0000057,28.85,8,UK,pos,1,566,0
TXN0000058,116.83,2,UK,mobile,2,166,0
TXN0000059,259.53,10,US,online,0,1257,0
TXN0000060,109.98,11,US,pos,1,223,0
TXN0000061,15.15,9,France,pos,2,917,0
TXN0000062,9.85,19,Spain,online,2,313,0
TXN0000063,1063.68,11,Romania,online,2,286,1
TXN0000064,70.82,9,Romania,online,1,414,0
TXN0000065,211.33,14,France,mobile,2,713,0
TXN0000066,588.02,7,UK,online,2,54,0
TXN0000067,69.04,18,UK,mobile,1,453,0
TXN0000068,261.37,5,Germany,atm,1,119,0
TXN0000069,101.24,23,US,pos,3,161,0
TXN0000070,4090.68,18,Nigeria,atm,4,87,0
TXN0000071,15.04,8,France,online,1,364,0
TXN0000072,254.24,0,US,pos,3,642,0
TXN0000073,110.4,19,UK,online,1,358,0
TXN0000074,66.75,17,Unknown,online,1,1371,0
TXN0000075,310.7,17,UK,pos,2,11,0
TXN0000076,79.79,18,UK,pos,3,825,0
TXN0000077,125.96,5,France,pos,0,1579,0
TXN0000078,35.35,11,UK,online,2,801,0
TXN0000079,291.94,7,UK,atm,1,516,0
TXN0000080,5259.85,20,UK,online,4,411,0
TXN0000081,43.36,15,US,pos,0,783,0
TXN0000082,226.58,10,US,mobile,1,1267,0
TXN0000083,56.81,4,US,atm,0,1308,0
TXN0000084,16.21,10,UK,pos,1,666,0
TXN0000085,125.31,10,US,pos,4,889,0
TXN0000086,10.97,17,Spain,atm,0,34,0
TXN0000087,245.7,15,UK,online,1,263,0
TXN0000088,488.31,20,UK,online,0,770,0
TXN0000089,9.98,13,Nigeria,online,2,9,0
TXN0000090,128.81,7,France,pos,2,294,0
TXN0000091,70.63,17,Romania,atm,0,2,0
TXN0000092,214.48,18,UK,online,1,427,0
TXN0000093,210.38,14,US,online,1,4,0
TXN0000094,4560.59,18,US,mobile,4,204,0
TXN0000095,87.33,13,Nigeria,pos,1,260,0
TXN0000096,259.75,13,UK,pos,3,90,0
TXN0000097,120.95,12,Spain,pos,2,47,0
TXN0000098,290.3,1,UK,mobile,3,307,0
TXN0000099,43.56,6,UK,online,3,2,0
TXN0000100,101.67,1,Unknown,pos,1,397,0
TXN0000101,31.32,15,Unknown,online,2,69,0
TXN0000102,151.79,10,Spain,pos,0,692,0
TXN0000103,268.53,13,UK,online,2,1839,0
TXN0000104,141.72,21,,online,0,193,0
TXN0000105,6.8,9,Unknown,online,3,57,1
TXN0000106,59.42,12,France,pos,0,369,0
TXN0000107,121.53,18,Spain,atm,1,1416,0
TXN0000108,124.18,9,UK,atm,0,195,0
TXN0000109,159.23,5,Spain,pos,1,447,0
TXN0000110,48.52,10,Unknown,atm,4,211,0
TXN0000111,73.09,7,Unknown,pos,4,79,0
TXN0000112,82.09,21,Spain,atm,1,210,0
TXN0000113,15.27,19,Spain,online,3,85,0
TXN0000114,432.59,15,Spain,pos,4,62,0
TXN0000115,17.71,20,Nigeria,online,0,675,0
TXN0000116,204.38,19,Spain,mobile,2,266,0
TXN0000117,120.92,8,UK,pos,2,47,0
TXN0000118,193.46,20,Spain,atm,3,324,0
TXN0000119,6.95,14,US,pos,2,643,0
TXN0000120,3.84,19,Spain,online,2,1814,0
TXN0000121,87.67,20,Spain,pos,1,209,0
TXN0000122,0.81,10,Romania,pos,2,1139,0
TXN0000123,23.43,6,Unknown,online,1,837,0
TXN0000124,205.01,9,,online,3,2860,0
TXN0000125,40.95,12,Unknown,online,1,884,0
TXN0000126,159.69,19,Romania,online,2,287,0
TXN0000127,28.02,20,Romania,pos,4,166,0
TXN0000128,1156.65,0,Unknown,atm,1,961,1
TXN0000129,117.74,13,Spain,pos,1,695,0
TXN0000130,71.48,12,US,atm,1,510,0
TXN0000131,10.4,8,UK,online,2,1,0
TXN0000132,70.36,7,UK,atm,2,778,0
TXN0000133,88.32,10,Spain,online,2,1833,0
TXN0000134,75.93,22,Nigeria,pos,2,413,0
TXN0000135,36.16,10,Romania,pos,2,762,1
TXN0000136,31.66,13,UK,online,2,150,0
TXN0000137,208.21,17,UK,online,1,582,0
TXN0000138,317.45,11,Germany,pos,0,428,0
TXN0000139,225.14,22,Nigeria,atm,1,321,0
TXN0000140,26.5,22,UK,mobile,0,164,0
TXN0000141,35.9,9,US,pos,2,787,0
TXN0000142,63.37,13,Germany,online,2,452,0
TXN0000143,104.22,10,Unknown,online,3,727,1
TXN0000144,14.14,10,UK,pos,1,436,0
TXN0000145,43.67,2,UK,online,1,1070,0
TXN0000146,121.11,15,Spain,pos,1,174,0
TXN0000147,16.66,13,Romania,online,2,348,0
TXN0000148,52.06,3,Spain,online,1,16,0
TXN0000149,88.53,9,US,mobile,1,123,0
TXN0000150,45.73,21,Romania,pos,4,148,0
TXN0000151,144.81,9,Germany,pos,0,66,0
TXN0000152,0.5,7,Spain,online,2,104,0
TXN0000153,228.96,13,US,online,1,168,0
TXN0000154,129.35,23,US,atm,1,1599,0
TXN0000155,254.36,9,Spain,pos,1,489,0
TXN0000156,170.7,16,Spain,pos,1,1264,0
